,_id,product_name,product_searched,price,offer_details,discount_percent,EMI,rating,comment,customer_name,review_age
0,616ed9c26434159d721cea08,"SAMSUNG Galaxy F42 5G (Matte Aqua, 128 GB)  (6 GB RAM)",samsung,"₹17,999","['Bank OfferFlat ₹1500 off on SBI Credit Card. On order of ₹30,000 and aboveT&C', 'Bank Offer5% Unlimited Cashback on Flipkart Axis Bank Credit CardT&C', 'Special PriceExtra ₹6000 off(price inclusive of discount)T&C', 'View 3 more offers']",25% off,NO EMI Plans,5,Awesome,Flipkart Customer,7 days ago
1,616ed9c46434159d721cea0a,"SAMSUNG Galaxy F42 5G (Matte Aqua, 128 GB)  (6 GB RAM)",samsung,"₹17,999","['Bank OfferFlat ₹1500 off on SBI Credit Card. On order of ₹30,000 and aboveT&C', 'Bank Offer5% Unlimited Cashback on Flipkart Axis Bank Credit CardT&C', 'Special PriceExtra ₹6000 off(price inclusive of discount)T&C', 'View 3 more offers']",25% off,NO EMI Plans,3,Decent product,Flipkart Customer,7 days ago
2,616ed9c66434159d721cea0c,"SAMSUNG Galaxy F42 5G (Matte Aqua, 128 GB)  (6 GB RAM)",samsung,"₹17,999","['Bank OfferFlat ₹1500 off on SBI Credit Card. On order of ₹30,000 and aboveT&C', 'Bank Offer5% Unlimited Cashback on Flipkart Axis Bank Credit CardT&C', 'Special PriceExtra ₹6000 off(price inclusive of discount)T&C', 'View 3 more offers']",25% off,NO EMI Plans,5,Mind-blowing purchase,shrikanth rao,5 days ago
3,616ed9c86434159d721cea0e,"SAMSUNG Galaxy F42 5G (Matte Aqua, 128 GB)  (6 GB RAM)",samsung,"₹17,999","['Bank OfferFlat ₹1500 off on SBI Credit Card. On order of ₹30,000 and aboveT&C', 'Bank Offer5% Unlimited Cashback on Flipkart Axis Bank Credit CardT&C', 'Special PriceExtra ₹6000 off(price inclusive of discount)T&C', 'View 3 more offers']",25% off,NO EMI Plans,5,Terrific,Flipkart Customer,13 days ago
4,616ed9ca6434159d721cea10,"SAMSUNG Galaxy F42 5G (Matte Aqua, 128 GB)  (6 GB RAM)",samsung,"₹17,999","['Bank OfferFlat ₹1500 off on SBI Credit Card. On order of ₹30,000 and aboveT&C', 'Bank Offer5% Unlimited Cashback on Flipkart Axis Bank Credit CardT&C', 'Special PriceExtra ₹6000 off(price inclusive of discount)T&C', 'View 3 more offers']",25% off,NO EMI Plans,1,Utterly Disappointed,Khasim Shaikh,9 days ago
5,616ed9cc6434159d721cea12,"SAMSUNG Galaxy F42 5G (Matte Aqua, 128 GB)  (6 GB RAM)",samsung,"₹17,999","['Bank OfferFlat ₹1500 off on SBI Credit Card. On order of ₹30,000 and aboveT&C', 'Bank Offer5% Unlimited Cashback on Flipkart Axis Bank Credit CardT&C', 'Special PriceExtra ₹6000 off(price inclusive of discount)T&C', 'View 3 more offers']",25% off,NO EMI Plans,1,Unsatisfactory,Aniruddha Kathrotiya,13 days ago
6,616ed9ce6434159d721cea14,"SAMSUNG Galaxy F42 5G (Matte Aqua, 128 GB)  (6 GB RAM)",samsung,"₹17,999","['Bank OfferFlat ₹1500 off on SBI Credit Card. On order of ₹30,000 and aboveT&C', 'Bank Offer5% Unlimited Cashback on Flipkart Axis Bank Credit CardT&C', 'Special PriceExtra ₹6000 off(price inclusive of discount)T&C', 'View 3 more offers']",25% off,NO EMI Plans,1,Not recommended at all,Ajaykumar Bongoni,10 days ago
7,616ed9d06434159d721cea16,"SAMSUNG Galaxy F42 5G (Matte Aqua, 128 GB)  (6 GB RAM)",samsung,"₹17,999","['Bank OfferFlat ₹1500 off on SBI Credit Card. On order of ₹30,000 and aboveT&C', 'Bank Offer5% Unlimited Cashback on Flipkart Axis Bank Credit CardT&C', 'Special PriceExtra ₹6000 off(price inclusive of discount)T&C', 'View 3 more offers']",25% off,NO EMI Plans,2,Slightly disappointed,Safvan Mansuri,13 days ago
8,616ed9d26434159d721cea18,"SAMSUNG Galaxy F42 5G (Matte Aqua, 128 GB)  (6 GB RAM)",samsung,"₹17,999","['Bank OfferFlat ₹1500 off on SBI Credit Card. On order of ₹30,000 and aboveT&C', 'Bank Offer5% Unlimited Cashback on Flipkart Axis Bank Credit CardT&C', 'Special PriceExtra ₹6000 off(price inclusive of discount)T&C', 'View 3 more offers']",25% off,NO EMI Plans,4,Good choice,Harshad Raval,14 days ago
9,616ed9d46434159d721cea1a,"SAMSUNG Galaxy F42 5G (Matte Aqua, 128 GB)  (6 GB RAM)",samsung,"₹17,999","['Bank OfferFlat ₹1500 off on SBI Credit Card. On order of ₹30,000 and aboveT&C', 'Bank Offer5% Unlimited Cashback on Flipkart Axis Bank Credit CardT&C', 'Special PriceExtra ₹6000 off(price inclusive of discount)T&C', 'View 3 more offers']",25% off,NO EMI Plans,2,Bad quality,Rahul Kumar,5 days ago
